licence_number,designation,name,dba,status,structure,city,phone
M10-18-0000354-TEMP,Medicinal,Ketama Cooperative,,Active,Corporation,SAN FRANCISCO,4158612451
M10-18-0000363-TEMP,"Adult-Use
Medicinal",Natural Healing Center,,Active,"Limited Liability
Company",GROVER BEACH,2132725729
M10-18-0000365-TEMP,"Adult-Use
Medicinal",Harbor Managment Group LLC,Safe Port,Active,"Limited Liability
Company",Port Hueneme,8058273615
M10-18-0000366-TEMP,Medicinal,Chronic Pain Releaf Center,,Active,Corporation,LONG BEACH,8188238110
M10-18-0000368-TEMP,Medicinal,"L.B. Collective, Inc.",,Active,Corporation,LONG BEACH,7148095076
M10-18-0000377-TEMP,Medicinal,Emeraled Beach Care,,Active,Corporation,LONG BEACH,5622705454
M10-18-0000378-TEMP,Medicinal,Marin Alliance for Medical Marijuana,"Marin Alliance for Medical
Marijuana",Active,"Sole
Proprietorship",FAIRFAX,4152957633
M10-18-0000379-TEMP,"Adult-Use
Medicinal","PHSL, LLC",Sugarleaf Trading Company,Active,"Limited Liability
Company",Seaside,9168218955
M10-18-0000381-TEMP,Medicinal,Long Beach Wellness Center,,Active,Corporation,Long Beach,7148095076
M10-18-0000401-TEMP,"Adult-Use
Medicinal","CAPTAIN KIRK SERVICES, INC.",Airfield Supply Co.,Active,Corporation,San Jose,4085295875
M10-18-0000404-TEMP,Medicinal,"CAPS Apothecary, Inc.",,Active,Corporation,PALM SPRINGS,8182193572
M10-18-0000405-TEMP,"Adult-Use
Medicinal","Hueneme Patient Consumer Collective, LLC.","Hueneme Patient Consumer
Coop",Active,"Limited Liability
Company",PORT HUENEME,8054191257
M10-18-0000411-TEMP,"Adult-Use
Medicinal",The Bud Farmacy Corporation,,Active,Corporation,Needles,8182629937
M10-18-0000413-TEMP,"Adult-Use
Medicinal",BCOK INC,La Corona Wellness,Active,Corporation,SAN FRANCISCO,7088332088
M10-18-0000414-TEMP,Medicinal,Kanna inc.,,Active,Corporation,OAKLAND,9257052129
M10-18-0000416-TEMP,"Adult-Use
Medicinal",SO CAL MM PATIENTS ASSOCIATION,All About Bud,Active,Corporation,DSRT HOT SPGS,7606716466
M10-18-0000417-TEMP,Medicinal,"CANOPY CLUB, INC.",,Active,Corporation,SANTA BARBARA,8058952578
M10-18-0000421-TEMP,"Adult-Use
Medicinal","Venice Caregiver Foundation, Inc.",MedMen Abbot Kinney,Active,Corporation,VENICE,3234862787
